Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,text,preview_date,home_team,away_team,url
E0,2012-08-18,arsenal,sunderland,0,0,D,0,0,D,C Foy,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5,1.35,4.6,9.0,1.35,4.6,9.0,1.35,4.5,7.3,1.4,4.5,8.0,1.44,4.76,8.78,1.44,4.0,8.0,1.36,4.5,9.5,1.44,4.75,8.5,1.4,4.33,8.5,39,1.44,1.4,4.89,4.47,9.5,8.37,33,1.83,1.76,2.15,2.05,23,-1.25,2.02,1.96,1.96,1.91,1.44,4.72,8.71,"Arsenal have sold their best player for the second summer in succession but where there was fury and confusion last time after the departures of Cesc Fábregas and Samir Nasri, there is now optimism and excitement. Robin van Persie's goals will be missed but in signing Santi Cazorla, Lukas Podolski and Olivier Giroud, Arsenal have done more than merely limit the damage. The theory that the club might be collectively stronger faces its first test against a Sunderland side that will not boast many new faces but will endeavour to dampen the mood. David Hytner",2012-08-17,arsenal,sunderland,https://www.theguardian.com/football/2012/aug/17/squad-sheets-arsenal-sunderland
E0,2012-08-18,fulham,norwich,5,0,H,2,0,H,M Oliver,11,4,9,2,12,11,6,3,0,0,0,0,1.8,3.6,4.5,1.8,3.5,4.4,1.8,3.5,4.4,1.8,3.4,4.0,1.8,3.5,4.5,1.82,3.81,4.8,1.85,3.3,4.5,1.8,3.6,4.5,1.83,3.75,4.75,1.83,3.5,4.33,39,1.85,1.8,3.82,3.59,4.8,4.44,35,1.95,1.89,2.01,1.92,21,-0.5,1.83,1.8,2.14,2.09,1.84,3.75,4.75,"The Norwich manager, Chris Hughton, has paid tribute to his Fulham counterpart, Martin Jol, whom he worked under for three years at Tottenham, ahead of Saturday's meeting. ""I have learned a lot from him, so he has played a very good part in where I am in this moment,"" he said. Hughton, however, will be going all out to beat his friend, and much could hinge on the potential success of a new forward partnership between Grant Holt and Robert Snodgrass. With the unsettled forward Clint Dempsey not in the squad, Fulham will be looking to new signing Mladen Petric for goals, whilst Moussa Dembélé remaining at the club is a significant bonus. Alex Finnis",2012-08-17,fulham,norwich,https://www.theguardian.com/football/2012/aug/17/squad-sheets-fulham-norwich-city
E0,2012-08-18,newcastle,tottenham,2,1,H,0,0,D,M Atkinson,6,12,4,6,12,8,3,5,2,2,0,0,2.5,3.4,2.75,2.6,3.3,2.75,2.6,3.3,2.75,2.4,3.2,2.7,2.6,3.3,2.7,2.65,3.47,2.82,2.7,3.0,2.8,2.5,3.4,2.8,2.62,3.4,2.75,2.5,3.4,2.7,39,2.7,2.55,3.47,3.32,2.85,2.73,35,2.0,1.88,2.01,1.92,23,0.0,1.93,1.88,2.03,1.97,2.83,3.35,2.72,"To Newcastle's Alan Pardew, André Villas-Boas's Tottenham currently remain as mysterious as Brendan Rodgers's Liverpool. ""I'll be interested to see how Liverpool, with my friend Brendan there, evolve and it's the same with Spurs,"" said Pardew. ""There have been big changes at Spurs. Will it be a positive or a negative? It will be interesting to see André's hand when it's delivered on Saturday."" The former Chelsea manager's cause may be helped by home concerns surrounding the fitness of Papiss Cissé, Yohan Cabaye and Hatem Ben Arfa. Vurnon Anita, newly signed from Ajax, could make his Newcastle debut. Louise Taylor",2012-08-17,newcastle,tottenham,https://www.theguardian.com/football/2012/aug/17/squad-sheets-newcastle-united-tottenham-hotspur
E0,2012-08-18,qpr,swansea,0,5,A,0,1,A,L Probert,20,12,11,8,11,14,5,3,2,2,0,0,2.0,3.4,3.8,2.0,3.4,3.6,2.0,3.4,3.6,2.1,3.3,3.1,2.0,3.4,3.75,2.05,3.53,4.01,2.0,3.3,3.8,2.1,3.3,3.6,2.0,3.5,4.0,2.0,3.4,3.6,39,2.1,2.01,3.55,3.37,4.2,3.76,33,2.18,2.09,1.81,1.73,22,-0.25,1.8,1.75,2.21,2.13,2.0,3.53,4.15,"Amid the bedlam created by Manchester City's late title triumph last season it was somewhat forgotten that their opponents on the day, Queens Park Rangers, had just avoided relegation. That was some feat for their manager, Mark Hughes, given the tough string of fixtures he faced upon taking the job in January. He will hope to progress in his first full season at the club, starting with a win against a team seeking to confound all expectations for a second successive season, but this time under the charge of Michael Laudrup. Sachin Nakrani",2012-08-17,qpr,swansea,https://www.theguardian.com/football/2012/aug/17/squad-sheets-qpr-swansea-city
E0,2012-08-18,reading,stoke,1,1,D,0,1,A,K Friend,9,6,3,3,9,14,4,3,2,4,0,1,2.38,3.25,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.2,2.7,2.4,3.3,2.88,2.4,3.37,3.26,2.4,3.3,2.9,2.4,3.2,3.0,2.4,3.3,3.25,2.3,3.3,3.1,39,2.45,2.36,3.4,3.27,3.26,3.03,33,2.28,2.18,1.76,1.67,24,-0.25,2.07,2.01,1.91,1.86,2.47,3.3,3.22,"Stoke are arguably the most successful promoted side of recent years. Since joining the Premier League in 2008 the Potters have never been in a relegation battle, and Tony Pulis is keen to ensure this season is no different. ""Gradually we're putting things into place that this football club could never have dreamed of and we mustn't get too greedy. Staying in the Premier League is our target,"" he said. Newly promoted Reading will be looking to emulate their opponents' top-flight staying power, but manager Brian McDermott may find himself with a tough task on his hands. New signing Pavel Pogrebnyak could be key – the Russian forward scored a goal every other game during his loan spell at Fulham last season and the Royals will hope he can replicate that form in 2012-13. Alex Finnis",2012-08-17,reading,stoke,https://www.theguardian.com/football/2012/aug/17/squad-sheets-reading-stoke-city
E0,2012-08-18,west brom,liverpool,3,0,H,1,0,H,P Dowd,15,14,10,7,10,11,7,3,1,4,0,1,4.2,3.5,1.91,4.1,3.5,1.85,4.1,3.5,1.85,3.3,3.3,2.0,3.75,3.5,1.95,4.39,3.59,1.94,3.8,3.3,2.0,4.0,3.4,1.91,4.33,3.6,1.95,4.0,3.4,1.91,39,4.38,4.01,3.61,3.44,2.0,1.93,33,2.18,2.08,1.81,1.74,22,0.5,2.0,1.96,1.97,1.92,4.76,3.74,1.84,"A fresh start at The Hawthorns where Steve Clarke and Brendan Rodgers take charge of their new clubs for the first time in the Premier League. Rodgers had asked Clarke to stay with Liverpool when first approached to succeed Kenny Dalglish this summer before the matter was taken out of their hands. ""I actually got sacked by Liverpool,"" Clarke revealed on Friday, insisting he has no grievance with his former employers. But it does add to the spice. Rodgers is Liverpool's fourth manager in four seasons and may need a positive start before facing Manchester City, Arsenal and Manchester United in his first three home games. Andy Hunter",2012-08-17,west brom,liverpool,https://www.theguardian.com/football/2012/aug/17/squad-sheets-west-brom-liverpool
E0,2012-08-18,west ham,aston villa,1,0,H,1,0,H,M Dean,8,10,4,6,17,8,6,4,0,1,0,0,2.2,3.3,3.4,2.25,3.3,3.3,2.25,3.3,3.3,2.15,3.3,3.0,2.25,3.3,3.1,2.26,3.49,3.43,2.3,3.2,3.2,2.25,3.3,3.3,2.25,3.4,3.4,2.3,3.3,3.1,39,2.3,2.23,3.46,3.32,3.51,3.23,33,2.1,2.03,1.85,1.77,25,-0.25,1.95,1.9,2.04,1.97,2.14,3.5,3.71,"West Ham are back in the Premier League and the task for their manager, Sam Allardyce, is clear – prevent the club suffering a fifth top-flight relegation in 24 years. He is aiming higher and wants his players to start the new campaign with a victory. That could prove tough against an Aston Villa side now under the charge of Paul Lambert, who, unlike his predecessor Alex McLeish, has the backing of the club's supporters. James Collins, who moved from Villa to West Ham in the summer, will make his home debut this afternoon. Sachin Nakrani",2012-08-17,west ham,aston villa,https://www.theguardian.com/football/2012/aug/17/squad-sheets-west-ham-aston-villa
E0,2012-08-19,man city,southampton,3,2,H,1,0,H,H Webb,20,9,15,6,4,6,7,3,1,2,0,0,1.17,7.0,17.0,1.18,6.25,16.0,1.18,6.25,16.0,1.17,5.8,13.0,1.17,7.0,15.0,1.2,7.5,19.75,1.2,6.0,15.0,1.17,7.0,19.0,1.2,7.0,19.0,1.17,6.5,17.0,39,1.21,1.18,7.55,6.78,19.38,15.6,26,1.56,1.5,2.68,2.51,24,-1.75,1.9,1.85,2.08,2.02,1.13,9.38,26.18,"Southampton can take immense pride in the consecutive promotions with which Nigel Adkins has restored the club to the top flight, but this game might be seen as a trial for a club that has come so far so soon. It would be a surprise if Manchester City did not revel in the occasion at the Etihad Stadium on Sunday. The manager, Roberto Mancini, seemed frustrated this summer by a halt to the large-scale recruitment policy of the past, but a settled squad may be formidable as players improve their rapport with one another. Kevin McCarra",2012-08-17,man city,southampton,https://www.theguardian.com/football/2012/aug/17/squad-sheets-manchester-city-southampton
E0,2012-08-19,wigan,chelsea,0,2,A,0,2,A,M Jones,12,5,4,3,16,11,7,1,2,2,0,0,6.0,3.75,1.62,6.0,3.9,1.55,6.0,3.9,1.55,5.5,3.9,1.5,6.5,3.8,1.53,6.05,4.02,1.65,5.5,3.6,1.67,6.5,4.0,1.53,6.5,3.8,1.65,6.0,4.0,1.53,39,6.75,6.09,4.0,3.84,1.67,1.58,35,1.93,1.88,2.05,1.93,24,1.0,1.9,1.8,2.16,2.09,4.92,3.77,1.81,"This has occasionally proved an awkward fixture for Chelsea in the recent past and, given the frailties that have reared in their defence in pre-season, will offer another stern test on Sunday lunchtime. The focus may be drawn to Victor Moses, who is coveted at Stamford Bridge and could move to London before the end of the transfer window, but the visitors would do well to concentrate on stifling the home debutant, Arouna Koné. Chelsea's own £20m new boy, Oscar, could feature in some capacity as Roberto Di Matteo marks his first Premier League game in full-time charge. Both managers would hope to start in the manner in which their sides finished last term. Dominic Fifield",2012-08-17,wigan,chelsea,https://www.theguardian.com/football/2012/aug/17/squad-sheets-wigan-athletic-chelsea
E0,2012-08-20,everton,man united,1,0,H,0,0,D,A Marriner,16,12,7,7,12,11,6,8,1,2,0,0,4.33,3.6,1.83,4.6,3.5,1.83,4.6,3.5,1.83,3.8,3.4,1.85,4.0,3.6,1.85,4.27,3.77,1.92,4.33,3.3,1.91,4.0,3.5,1.91,4.3,3.7,1.87,4.0,3.4,1.91,36,4.45,4.18,3.71,3.47,1.91,1.88,32,2.08,1.97,1.9,1.83,20,0.5,2.03,1.99,1.91,1.88,3.91,3.59,2.06,"Sir Alex Ferguson has sounded ebullient this week. There can be no doubt that the purchase of Robin van Persie from Arsenal gives him an array of forwards that others will envy, but the implication was that Manchester United are not receding into the shadows merely because Manchester City are Premier League champions. He was also indicating once more that he is at peace with the policies of the owners, the Glazers. Everton, however, could cause United disquiet on Monday night in a demanding fixture at Goodison. Kevin McCarra",2012-08-17,everton,man united,https://www.theguardian.com/football/2012/aug/17/squad-sheets-everton-manchester-united
