Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,text,preview_date,home_team,away_team,url
E0,2013-08-17,arsenal,aston villa,1,3,A,1,1,D,A Taylor,16,9,4,4,15,18,4,3,4,5,1,0,1.44,4.75,8.0,1.36,5.0,7.75,1.37,4.6,7.5,1.4,4.5,7.5,1.41,5.2,8.3,1.36,4.8,8.5,1.4,4.5,7.5,1.44,4.8,7.5,33,1.44,1.4,5.2,4.68,9.7,7.87,22,1.62,1.56,2.56,2.37,,,,,,,1.44,5.0,8.05,"The mood around the Emirates on Saturday afternoon should be optimistic yet many of the grumbles of recent seasons could be evident given Arsenal's alarming lack of transfer activity over the past few months. This was meant to be the summer when the club spent big yet, as things stand, Arsène Wenger's only fresh recruit is the young French attacker Yaya Sanogo. In contrast, Aston Villa have been busy and, with Christian Benteke remaining in situ, Paul Lambert will be expecting his young side to have the maturity to avoid a repeat of last season's relegation fight. Sachin Nakrani",2013-08-16,arsenal,aston villa,https://www.theguardian.com/football/2013/aug/16/arsenal-aston-villa-squad-sheets
E0,2013-08-17,liverpool,stoke,1,0,H,1,0,H,M Atkinson,26,10,11,4,11,11,12,6,1,1,0,0,1.4,5.0,9.5,1.4,4.33,8.25,1.4,4.4,7.3,1.44,4.2,7.5,1.41,4.88,9.35,1.36,4.6,9.0,1.36,4.5,9.5,1.4,5.0,9.5,32,1.44,1.38,4.95,4.54,10.0,8.88,30,1.86,1.79,2.12,2.02,,,,,,,1.42,4.62,10.19,"For all the distractions caused by you-know-who, Liverpool at least enter the campaign with goals in their team and an established style of play after one season with Brendan Rodgers. Daniel Sturridge is back from an ankle injury ahead of schedule and may start in place of Iago Aspas, who struggled against Celtic's physical defence in Dublin last weekend. Stoke, by contrast, begin life under Mark Hughes with the same attacking options that produced only 34 goals last season – a tally bettered by every team apart from relegated QPR – and searching for a new identity after the exit of Tony Pulis. Andy Hunter",2013-08-16,liverpool,stoke,https://www.theguardian.com/football/2013/aug/16/liverpool-stoke-city-squad-sheets
E0,2013-08-17,norwich,everton,2,2,D,0,0,D,M Oliver,8,19,2,6,13,10,6,8,2,0,0,0,3.2,3.4,2.4,3.1,3.25,2.3,2.9,3.3,2.3,3.0,3.3,2.3,3.32,3.41,2.35,3.1,3.3,2.3,3.0,3.4,2.3,3.12,3.4,2.4,33,3.35,3.12,3.41,3.27,2.4,2.31,31,2.08,1.98,1.91,1.82,,,,,,,3.81,3.27,2.21,"Arguably one of the most intriguing ties of the weekend because of the wholesale changes that have taken place at both clubs this summer. Everton begin life under their new manager, Roberto Martínez, who is expected to adopt a different tactical approach to his predecessor, David Moyes. Norwich, meanwhile, have moved boldly in the transfer market and Chris Hughton could hand debuts to a number of new recruits including Gary Hooper and the Canaries' record signing, Ricky van Wolfswinkel. James Riach",2013-08-16,norwich,everton,https://www.theguardian.com/football/2013/aug/16/norwich-city-everton-squad-sheets
E0,2013-08-17,sunderland,fulham,0,1,A,0,0,D,N Swarbrick,20,5,3,1,14,14,6,1,0,3,0,0,2.3,3.4,3.4,2.25,3.2,3.25,2.2,3.2,3.2,2.2,3.25,3.3,2.25,3.37,3.58,2.2,3.3,3.3,2.25,3.3,3.3,2.3,3.4,3.3,33,2.3,2.22,3.45,3.3,3.58,3.29,31,2.14,2.04,1.84,1.77,,,,,,,2.52,3.23,3.16,"Darren Bent, newly arrived at Fulham on loan from Aston Villa, is available to feature but the striker may not recognise his one former club. Paolo Di Canio, Sunderland's manager, says he has presided over a ""complete revolution"" this summer. Embracing much enhanced discipline and fitness it is intended to have given the team a ""new identity"" courtesy of more attractive football, played from the back and 10 new summer signings. Louise Taylor",2013-08-16,sunderland,fulham,https://www.theguardian.com/football/2013/aug/16/sunderland-fulham-squad-sheets
E0,2013-08-17,swansea,man united,1,4,A,0,2,A,P Dowd,17,15,6,7,13,10,7,4,1,3,0,0,4.2,3.5,2.0,4.1,3.5,1.87,4.2,3.5,1.8,4.0,3.5,1.9,4.1,3.52,2.03,4.0,3.4,1.91,4.0,3.6,1.9,3.8,3.6,2.05,33,4.33,3.84,3.6,3.4,2.1,1.99,31,1.93,1.83,2.06,1.98,,,,,,,3.62,3.41,2.22,"Can David Moyes do it? Can he continue the work of Sir Alex Ferguson, who turned Manchester United into a trophy-greedy juggernaut? The answer is this Premier League season's must-see show. Whether the unhappy Wayne Rooney travels to the Liberty Stadium and is part of his matchday squad is a side issue. Moyes's prime focus is to leave south Wales unbeaten – victory would be a bonus. Jamie Jackson",2013-08-16,swansea,man united,https://www.theguardian.com/football/2013/aug/16/swansea-city-manchester-united-squad-sheets
E0,2013-08-17,west brom,southampton,0,1,A,0,0,D,K Friend,11,7,1,2,14,24,4,8,4,0,0,0,2.4,3.4,3.2,2.3,3.25,3.1,2.2,3.3,3.1,2.2,3.3,3.25,2.42,3.38,3.21,2.25,3.3,3.2,2.25,3.4,3.2,2.4,3.4,3.12,33,2.43,2.31,3.45,3.33,3.3,3.07,31,2.02,1.87,2.02,1.93,,,,,,,2.56,3.3,3.06,"The home side's manager, Steve Clarke, believes his side are ""better and stronger"" than the one that ended last season in eighth place but they may struggle unless new arrivals Nicolas Anelka and Matej Vydra can compensate for the loss of Romelu Lukaku. Southampton may field new signings Victor Wanyama and Dejan Lovren from the outset as Gastón Ramírez and Maya Yoshida both made long international trips in midweek. Rich Flower",2013-08-16,west brom,southampton,https://www.theguardian.com/football/2013/aug/16/west-brom-southampton-squad-sheets
E0,2013-08-17,west ham,cardiff,2,0,H,1,0,H,H Webb,18,12,4,1,10,7,4,3,0,1,0,0,2.0,3.6,4.0,1.91,3.4,4.0,1.9,3.45,3.8,1.9,3.4,4.0,1.99,3.57,4.21,1.95,3.5,3.8,1.91,3.5,4.0,2.0,3.6,4.0,33,2.0,1.94,3.65,3.47,4.4,3.94,31,2.0,1.89,2.0,1.9,,,,,,,2.17,3.36,3.84,"Much has changed for both of these sides since Cardiff won 1-0 at Upton Park on the opening day of the Championship season two years ago. While Sam Allardyce led West Ham to 10th place last term, Cardiff have been promoted as champions and have spent heavily before their first ever Premier League campaign. West Ham, who lost four times at home last season, will be without the injured Andy Carroll but Stewart Downing will feature after his £6m signing from Liverpool. Jacob Steinberg",2013-08-16,west ham,cardiff,https://www.theguardian.com/football/2013/aug/16/west-ham-cardiff-city-squad-sheets
E0,2013-08-18,chelsea,hull,2,0,H,2,0,H,J Moss,22,7,5,2,7,16,5,1,0,1,0,0,1.2,7.0,21.0,1.19,6.25,15.0,1.2,5.8,13.0,1.2,6.5,15.0,1.2,7.4,19.5,1.2,6.0,15.0,1.2,6.5,15.0,1.22,6.5,15.0,32,1.22,1.19,7.7,6.68,21.0,15.53,22,1.59,1.53,2.63,2.45,,,,,,,1.23,6.8,16.25,"This is a game of returns: for José Mourinho to Stamford Bridge, and Steve Bruce and Hull to the Premier League. The visitors have never won in this corner of south-west London and, even bolstered by summer reinforcements, will arrive braced for an instant reminder of the gulf between the top two divisions. Chelsea have quietly added to their options, but Mourinho is the main attraction. He did not lose a home league game first time round. That sequence is likely to be prolonged. Dominic Fifield",2013-08-16,chelsea,hull,https://www.theguardian.com/football/2013/aug/16/chelsea-hull-city-squad-sheets
E0,2013-08-18,crystal palace,tottenham,0,1,A,0,0,D,M Clattenburg,5,17,3,2,6,9,3,7,1,0,0,0,4.75,3.75,1.83,4.75,3.7,1.72,4.2,3.5,1.8,4.5,3.5,1.8,5.16,3.69,1.8,4.75,3.6,1.75,4.8,3.8,1.73,4.5,3.75,1.85,33,5.2,4.66,3.95,3.61,1.85,1.77,31,1.89,1.81,2.12,1.99,,,,,,,6.73,3.88,1.63,"Glory, glory be. Tottenham Hotspur have a match and so, for 90 minutes at least, the relentless Gareth Bale transfer saga can be pushed to one side. Unless, that is, the team lack pace, penetration and goals out of nothing. Then he will loom larger still, even as he stays away from Selhurst Park because of injury. Tottenham look to have too much for newly-promoted Palace but Ian Holloway's team will carry the fight. It should be fun. David Hytner",2013-08-16,crystal palace,tottenham,https://www.theguardian.com/football/2013/aug/16/crystal-palace-tottenham-hotspur-squad-sheets
E0,2013-08-19,man city,newcastle,4,0,H,2,0,H,A Marriner,20,5,11,1,9,7,8,1,2,3,0,1,1.33,5.5,11.0,1.3,5.25,9.75,1.3,5.0,9.0,1.28,5.5,10.0,1.31,5.86,11.66,1.29,5.5,10.0,1.3,5.25,10.0,1.33,5.5,10.5,30,1.33,1.3,5.86,5.27,12.0,10.35,27,1.68,1.6,2.44,2.3,,,,,,,1.26,6.41,14.02,"Manuel Pellegrini begins his tenure at Manchester City having declared himself ""absolutely"" ready for the Premier League following a calm pre-season. The serene Chilean, hired in part as a kind of anti-Roberto Mancini, acquired Fernandinho, Jesús Navas, Stevan Jovetic and Alvaro Negredo early in the window so has had all summer to integrate them, and himself, into the club. Against Newcastle, whose manager Alan Pardew has to contend with answering to the new director of football, Joe Kinnear, anything but victory would be a surprise. Jamie Jackson",2013-08-16,man city,newcastle,https://www.theguardian.com/football/2013/aug/16/manchester-city-newcastle-united-squad-sheets
E0,2013-08-21,chelsea,aston villa,2,1,H,1,1,D,K Friend,15,7,3,3,12,13,1,2,1,4,0,0,1.29,5.5,10.0,1.28,5.25,10.0,1.3,5.0,9.0,1.29,5.5,9.5,1.3,5.89,11.9,1.3,5.5,9.5,1.3,5.25,10.0,1.29,5.75,12.0,34,1.33,1.29,6.4,5.42,14.0,10.17,22,1.62,1.55,2.56,2.38,21.0,-1.5,1.88,1.84,2.14,2.03,1.28,6.48,12.18,,,,,
E0,2013-08-24,aston villa,liverpool,0,1,A,0,1,A,M Clattenburg,17,5,3,1,9,8,8,2,3,3,0,0,4.0,3.75,1.95,3.8,3.6,1.91,3.6,3.3,2.0,4.0,3.5,1.91,4.18,3.83,1.93,3.75,3.6,1.95,4.0,3.5,1.91,3.9,3.8,1.95,34,4.2,3.93,3.83,3.55,2.0,1.91,32,1.83,1.73,2.22,2.1,18.0,0.5,2.01,1.96,1.96,1.92,4.28,4.04,1.85,"As Liverpool's star striker remains suspended Aston Villa's continues to shine. Christian Benteke has scored three times in his side's opening two games, only adding to the sense that Paul Lambert pulled off a masterstroke by convincing the Belgian to stay put. Without Luis Suárez, Liverpool impressed in their victory over Stoke last week but they will want to be more clinical this time around. Sachin Nakrani",2013-08-23,aston villa,liverpool,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-villa-liverpool
E0,2013-08-24,everton,west brom,0,0,D,0,0,D,R East,22,7,8,2,14,15,11,1,1,1,0,0,1.57,4.33,6.5,1.53,4.1,6.0,1.55,3.9,5.6,1.57,3.75,6.0,1.55,4.33,7.01,1.55,4.0,6.0,1.57,4.0,6.0,1.6,4.2,6.0,34,1.6,1.55,4.35,3.94,7.1,6.27,32,1.89,1.79,2.1,2.02,21.0,-1.0,2.05,1.92,2.0,1.94,1.58,4.13,6.88,"West Bromwich Albion's commanding start to last season must appear a world away to Steve Clarke. A 90th-minute home defeat on the opening day has been compounded by Nicolas Anelka going on indefinite compassionate leave following the sudden death of his agent, Eric Manasse. Shane Long assumes greater responsibility in an attack adjusting to life without Romelu Lukaku, while the on-loan Scott Sinclair could make his debut. Roberto Martínez takes his league bow as Everton manager at Goodison Park looking to build on last week's encouraging draw at Norwich, minus the costly defensive errors. Andy Hunter",2013-08-23,everton,west brom,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-everton-wba
E0,2013-08-24,fulham,arsenal,1,3,A,0,2,A,H Webb,16,18,7,7,10,8,1,8,2,2,0,0,3.8,3.5,2.1,3.6,3.5,2.0,3.3,3.3,2.1,3.5,3.4,2.1,3.7,3.58,2.13,3.4,3.5,2.1,3.5,3.4,2.1,3.5,3.5,2.15,34,3.8,3.51,3.58,3.38,2.15,2.1,32,1.88,1.8,2.12,2.0,18.0,0.5,1.82,1.79,2.15,2.09,4.78,3.6,1.88,"The fresh sense of crisis surrounding Arsenal has been eased by their midweek win over Fenerbahce but there remains pressure on Arsène Wenger's side to win following their unexpected loss to Aston Villa. Fulham, who could hand a debut to Scott Parker, are not expected to triumph given they have won three of their previous 24 Premier League games against the visitors. Sophy Coombes-Roberts",2013-08-23,fulham,arsenal,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-fulham-arsenal
E0,2013-08-24,hull,norwich,1,0,H,1,0,H,M Jones,6,13,1,4,14,19,1,5,1,1,1,0,2.45,3.4,3.1,2.4,3.25,2.95,2.4,3.3,2.75,2.4,3.3,2.9,2.44,3.4,3.15,2.4,3.1,3.1,2.4,3.3,3.0,2.5,3.25,3.1,34,2.5,2.39,3.4,3.25,3.33,3.01,32,2.3,2.17,1.79,1.69,18.0,0.0,1.71,1.68,2.38,2.21,2.37,3.3,3.36,"Both teams go into the game looking for their first win of the season. New arrival Tom Huddlestone is likely to start for Hull as Steve Bruce looks for a side full of new recruits to get off to a good start in front of their own supporters. Norwich, meanwhile, will be hoping record signing Ricky van Wolfswinkel can replicate his goal-scoring impact against Everton last week. Sophy Coombes-Roberts",2013-08-23,hull,norwich,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-hull-norwich
E0,2013-08-24,newcastle,west ham,0,0,D,0,0,D,P Dowd,16,6,0,1,12,14,5,4,0,1,0,0,2.3,3.4,3.4,2.25,3.2,3.25,2.1,3.3,3.3,2.2,3.3,3.3,2.31,3.4,3.41,2.2,3.3,3.3,2.2,3.4,3.3,2.3,3.4,3.3,34,2.32,2.22,3.4,3.29,3.55,3.29,31,2.05,1.98,1.91,1.82,18.0,-0.5,2.31,2.21,1.74,1.7,2.22,3.48,3.57,"The good news for Alan Pardew is that former Newcastle striker Andy Carroll will not feature in a visiting side managed by Sam Allardyce. If Allardyce was one of the least popular previous occupants of Pardew's office at St James' Park, few on Tyneside underestimate the threat posed by West Ham. Particularly on an afternoon when Newcastle – with or without the unsettled Yohan Cabaye – need to exorcise Monday's 4-0 thrashing at Manchester City. Louise Taylor",2013-08-23,newcastle,west ham,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-newcastle-westham
E0,2013-08-24,southampton,sunderland,1,1,D,0,1,A,L Mason,17,8,6,3,12,13,5,2,2,2,0,0,1.73,3.8,5.5,1.65,3.8,5.0,1.85,3.45,4.0,1.72,3.75,4.5,1.68,4.01,5.57,1.67,3.6,5.5,1.73,3.6,5.0,1.75,3.6,5.0,34,1.85,1.69,4.1,3.66,5.63,5.16,32,2.04,1.96,1.93,1.84,20.0,-1.0,2.25,2.19,1.77,1.71,1.65,4.01,6.15,"These are exciting times on the south coast. The arrival of Pablo Osvaldo, signed for a record-breaking £14.6m from Roma, indicates the size of Southampton's ambition, although the Italy forward will do well to dislodge Rickie Lambert, who scored the winner at West Bromwich Albion last week. Sunderland, hoping for a repeat of last season's 1-0 win at St Mary's, are already under pressure after the 1-0 defeat by Fulham, and Paolo Di Canio needs a swift response from his players. Jacob Steinberg",2013-08-23,southampton,sunderland,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-southampton-sunderland
E0,2013-08-24,stoke,crystal palace,2,1,H,0,1,A,A Marriner,14,14,5,5,13,6,7,0,3,0,0,0,1.83,3.6,5.0,1.8,3.4,4.6,1.8,3.5,4.2,1.83,3.4,4.5,1.81,3.65,5.16,1.85,3.3,4.6,1.8,3.5,4.8,1.85,3.5,4.8,34,1.91,1.83,3.65,3.42,5.1,4.54,32,2.32,2.19,1.73,1.67,18.0,-0.5,1.87,1.84,2.09,2.04,2.0,3.48,4.28,"Both teams suffered less-than-surprising defeats in their respective opening day games so will be hoping to use this match to put their first points on the board. In their last meeting Stoke won 4-1, but judging from their showing against Spurs Ian Holloway's men should put up a fight, and could include Jason Puncheon, who has arrived on loan from Southampton. Sophy Coombes-Roberts",2013-08-23,stoke,crystal palace,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-stoke-palace
E0,2013-08-25,cardiff,man city,3,2,H,0,0,D,L Probert,9,16,6,5,2,9,3,8,0,0,0,0,8.5,4.75,1.44,8.25,4.2,1.42,7.0,4.0,1.45,6.5,4.5,1.45,7.99,4.75,1.46,7.5,4.5,1.4,7.0,4.5,1.44,7.5,4.75,1.45,34,8.5,7.32,4.9,4.39,1.47,1.44,30,1.72,1.66,2.44,2.21,21.0,1.0,2.24,2.16,1.78,1.73,8.67,4.91,1.43,"Defeat at West Ham was not the best way for Cardiff City to prepare for the visit of Manuel Pellegrini's Manchester City, who beat Newcastle in the opening weekend's most impressive display. Yet a concern for the Chilean is his defence, where Vincent Kompany's groin injury leaves Joleon Lescott is the only match-fit centre-back. Saying that, most of the action should be at the other end of the pitch anyway, where Jesus Navas's blistering pace should help City to a successive win. Jamie Jackson",2013-08-23,cardiff,man city,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-cardiff-man-city
E0,2013-08-25,tottenham,swansea,1,0,H,0,0,D,N Swarbrick,19,7,5,5,10,15,8,3,1,4,0,0,1.62,4.0,6.5,1.57,3.75,6.25,1.5,4.0,6.1,1.57,4.0,5.5,1.62,4.04,6.45,1.65,4.0,5.0,1.57,4.0,5.8,1.65,4.0,5.75,34,1.66,1.6,4.0,3.78,6.58,5.95,32,1.88,1.79,2.15,2.02,20.0,-1.0,2.22,2.09,1.86,1.78,1.78,3.67,5.4,"According to André Villas-Boas, ""the body is tired but the mind is happy, absolutely"", following Tottenham's 5-0 Europa League thumping of Dinamo Tbilisi, and Swansea are in similar mood. They, too, scored five in the competition, against Petrolul Ploiesti, albeit at home, helping them a little in terms of time not spent travelling. The mission for both clubs is to prove that Europe will not sap them. This fixture was tight last season and Villas-Boas is anticipating more of the same. David Hytner",2013-08-23,tottenham,swansea,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-tottenham-swansea
E0,2013-08-26,man united,chelsea,0,0,D,0,0,D,M Atkinson,13,8,3,4,9,9,4,1,0,2,0,0,2.45,3.4,3.1,2.3,3.4,3.0,2.2,3.2,3.2,2.37,3.2,3.1,2.48,3.51,3.02,2.4,3.5,2.8,2.25,3.5,3.13,2.5,3.5,2.9,32,2.5,2.38,3.51,3.33,3.2,2.94,30,1.85,1.78,2.18,2.03,16.0,-0.25,2.13,2.09,1.83,1.8,2.34,3.37,3.4,"José Mourinho has suggested Chelsea will make a third bid for Wayne Rooney following this match, in turn surely affecting David Moyes's thinking in regards to whether or not to select the unhappy striker. Should Rooney be picked from the start it will be interesting to see the reception he receives from a home crowd whose patience has been stretched by the will-he-won't-he-leave saga. Jamie Jackson",2013-08-23,man united,chelsea,https://www.theguardian.com/football/2013/aug/23/premier-league-squad-sheets-manchester-united-chelsea
E0,2013-08-31,cardiff,everton,0,0,D,0,0,D,A Taylor,4,13,1,3,11,9,4,5,1,1,0,0,3.25,3.4,2.38,3.1,3.25,2.3,3.1,3.3,2.2,3.1,3.4,2.25,3.33,3.35,2.37,3.2,3.3,2.25,3.25,3.3,2.25,3.25,3.4,2.38,35,3.33,3.13,3.45,3.31,2.41,2.29,33,2.11,2.01,1.87,1.79,17.0,0.25,1.92,1.89,2.03,1.98,3.65,3.37,2.23,"After their stunning win against Manchester City last week, Cardiff will be looking to maintain momentum against an Everton side that have drawn their opening two games of the season. The visitors have lacked a cutting edge and almost lost to Stevenage in the Capital One Cup in midweek. Uncertainty also surrounds the future of Leighton Baines and Marouane Fellaini. Charlotte Trundley",2013-08-30,cardiff,everton,https://www.theguardian.com/football/2013/aug/30/cardiff-everton-premier-league-squad-sheets
E0,2013-08-31,crystal palace,sunderland,3,1,H,1,0,H,L Probert,17,10,6,2,6,6,6,6,1,0,0,1,2.6,3.3,3.0,2.55,3.25,2.75,2.4,3.2,2.85,2.5,3.3,2.7,2.54,3.31,3.09,2.45,3.25,2.9,2.5,3.25,2.88,2.6,3.25,3.0,35,2.6,2.49,3.35,3.22,3.1,2.89,33,2.26,2.15,1.76,1.69,18.0,0.0,1.87,1.78,2.17,2.08,2.48,3.24,3.26,"Both teams are still looking for their first win of the season, with Paolo Di Canio keen for Sunderland to kickstart their campaign in order to avoid last year's relegation worries. Ian Holloway, meanwhile, has bemoaned the lack of Crystal Palace's signings this summer but can hope one new arrival, Marouane Chamakh, is in confident mood after scoring at Stoke last week. Charlotte Trundley",2013-08-30,crystal palace,sunderland,https://www.theguardian.com/football/2013/aug/30/palace-sunderland-premier-league-squad-sheets
E0,2013-08-31,man city,hull,2,0,H,0,0,D,P Dowd,12,7,6,2,15,14,7,4,2,3,0,0,1.17,8.5,19.0,1.16,7.25,15.5,1.2,5.8,13.0,1.16,7.5,15.0,1.19,8.04,18.58,1.17,7.0,17.0,1.17,7.0,19.0,1.18,8.0,19.0,35,1.2,1.16,8.52,7.53,20.56,15.78,23,1.53,1.46,2.8,2.61,20.0,-2.0,1.9,1.82,2.12,2.06,1.18,7.84,21.01,"Having suffered a shock defeat to Cardiff, Manchester City will want to get back to winning ways in this match. The hosts' defending will have to be better than it was in the Welsh capital last week, although perhaps not necessarily at its best given they face a Hull side that has scored just once in their opening two games and that a penalty in last week's win against Norwich. Charlotte Trundley",2013-08-30,man city,hull,https://www.theguardian.com/football/2013/aug/30/manchester-city-hull-squad-sheets
E0,2013-08-31,newcastle,fulham,1,0,H,0,0,D,C Foy,24,3,9,2,13,9,13,2,2,2,0,0,2.15,3.4,3.75,2.05,3.3,3.6,2.1,3.3,3.3,2.1,3.4,3.4,2.15,3.49,3.73,2.05,3.5,3.5,2.1,3.4,3.5,2.15,3.5,3.6,35,2.18,2.11,3.5,3.36,3.75,3.49,33,2.05,1.95,1.92,1.85,18.0,-0.5,2.17,2.11,1.81,1.77,2.12,3.39,3.94,"It is safe to assume Damien Duff is no longer the Fulham player Newcastle fans most love to hate. Duff's disappointing displays during his Tyneside days pale into insignificance next to Darren Bent's double crime of once playing for Sunderland and rejecting the chance to join the hosts this summer. If Bent can expect a hot reception, Newcastle's unsettled Yohan Cabaye may receive a mixed one should he end his one-man strike by returning to action. Louise Taylor",2013-08-30,newcastle,fulham,https://www.theguardian.com/football/2013/aug/30/newcastle-fulham-premier-league-squad-sheets
E0,2013-08-31,norwich,southampton,1,0,H,0,0,D,H Webb,15,11,4,2,11,15,5,5,0,0,0,0,3.0,3.3,2.55,2.85,3.25,2.45,2.6,3.2,2.6,2.7,3.3,2.55,3.06,3.35,2.53,2.8,3.3,2.5,2.8,3.3,2.5,2.9,3.4,2.6,35,3.06,2.84,3.4,3.27,2.62,2.5,33,2.06,1.98,1.9,1.82,18.0,0.0,2.16,2.06,1.83,1.78,2.97,3.28,2.58,"With a combined summer expenditure of over £65m, these teams are hoping to catch the eye this season. Southampton have begun well and are likely again to turn to their record signing Pablo Osvaldo after he came on as a subsitute against Sunderland last week. Having succumbed to 10-man Hull last week, Norwich will be keen to finish the afternoon with a victory. Charlotte Trundley",2013-08-30,norwich,southampton,https://www.theguardian.com/football/2013/aug/30/norwich-southampton-premier-league-squad-sheets
E0,2013-08-31,west ham,stoke,0,1,A,0,0,D,J Moss,9,15,0,5,10,12,3,4,2,1,0,0,2.0,3.4,4.33,1.91,3.5,3.9,1.9,3.45,3.8,2.0,3.3,3.8,2.05,3.51,4.03,1.95,3.4,4.0,2.0,3.3,4.0,1.95,3.5,4.33,35,2.02,1.98,3.54,3.37,4.35,3.92,33,2.15,2.06,1.85,1.76,18.0,-0.5,2.02,1.98,1.95,1.89,1.98,3.44,4.42,"Mark Hughes has never won at Upton Park as a manager, losing four and drawing one of his five visits, but he knows he needs to improve Stoke's away form. Last week's victory over Crystal Palace showed they remain a formidable proposition at home but they only won twice on their travels last season. It will not be easy against Sam Allardyce's unbeaten West Ham side, however, although the hosts are still without the injured Andy Carroll. Jacob Steinberg",2013-08-30,west ham,stoke,https://www.theguardian.com/football/2013/aug/30/west-ham-stoke-squad-sheets
E0,2013-09-01,arsenal,tottenham,1,0,H,1,0,H,M Oliver,12,14,5,4,15,14,3,6,2,2,0,0,2.1,3.7,3.6,2.0,3.5,3.6,2.0,3.4,3.5,2.1,3.6,3.2,2.15,3.7,3.52,2.1,3.3,3.5,2.05,3.6,3.5,2.1,3.7,3.5,34,2.17,2.08,3.7,3.46,3.7,3.47,32,1.76,1.7,2.26,2.14,18.0,-0.5,2.15,2.09,1.83,1.8,2.18,3.35,3.79,"Arsenal dare not lose this one. After the outcry that followed the home defeat to Aston Villa, the wrong result here would lead to meltdowns. Arsène Wenger's team has stabilised with wins over Fenerbahce and Fulham but Tottenham represent a tough proposition. There is form and momentum behind them, fired in no small measure by their lavish summer transfer spend. The loss of Gareth Bale has not brought doom and gloom. It is Arsenal who are desperate for a tonic. David Hytner",2013-08-30,arsenal,tottenham,https://www.theguardian.com/football/2013/aug/30/arsenal-tottenham-premier-league-squad-sheets
