Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,text,preview_date,home_team,away_team,url
E0,2016-08-13,burnley,swansea,0,1,A,0,0,D,J Moss,10,17,3,9,10,14,7,4,3,2,0,0,2.4,3.3,3.25,2.45,3.1,2.95,2.5,3.3,2.65,2.45,3.25,3.1,2.47,3.32,3.19,2.5,3.2,2.9,2.5,3.2,3.25,55,2.55,2.43,3.35,3.21,3.3,3.1,40,2.4,2.3,1.68,1.61,32,-0.25,2.13,2.06,1.86,1.81,2.79,3.16,2.89,This already has the feel of a game that will set the tone for both clubs’ fortunes. Burnley should give a debut to Johann Berg Gudmundsson but he is their only outfield signing so far – Aston Villa’s Ashley Westwood may follow – and there are concerns that last season’s Championship winners are thin on numbers and quality. Swansea must adjust to losing Ashley Williams and André Ayew in quick succession and the match comes too soon for record signing Borja Bastón. Both squads should look stronger at the month’s end but a negative start could be hard to claw back. Nick Ames,2016-08-12,burnley,swansea,https://www.theguardian.com/football/2016/aug/12/burnley-swansea-city-match-preview
E0,2016-08-13,crystal palace,west brom,0,1,A,0,0,D,C Pawson,14,13,4,3,12,15,3,6,2,2,0,0,2.0,3.3,4.5,2.0,3.2,3.9,2.1,3.3,3.3,2.0,3.25,4.33,2.06,3.29,4.32,2.05,3.1,4.0,2.0,3.3,4.4,56,2.1,2.01,3.4,3.23,4.5,4.16,38,2.68,2.5,1.6,1.52,33,-0.5,2.07,2.0,1.9,1.85,2.25,3.15,3.86,"On paper this game between two of last season’s three lowest scoring sides may suggest a shortage of goals but their most recent meeting, at The Hawthorns in February, was a 3-2 classic. Yannick Bolasie looks to be on his way out of Palace but Alan Pardew expects him to be involved here, while Saido Berahino is in the visitors’ squad despite a chance he will move to Selhurst Park. Alan Smith",2016-08-12,crystal palace,west brom,https://www.theguardian.com/football/2016/aug/12/crystal-palace-west-bromwich-albion-match-preview
E0,2016-08-13,everton,tottenham,1,1,D,1,0,H,M Atkinson,12,13,6,4,10,14,5,6,0,0,0,0,3.2,3.4,2.4,2.95,3.2,2.4,2.65,3.3,2.5,3.1,3.4,2.4,3.25,3.43,2.37,3.1,3.1,2.4,3.25,3.4,2.38,55,3.3,3.12,3.45,3.32,2.5,2.36,41,2.12,2.05,1.87,1.77,32,0.25,1.91,1.85,2.09,2.0,3.64,3.54,2.16,"Two teams that a season ago may have considered themselves equals come into the new campaign worlds apart. Ronald Koeman is in the process of rebuilding a squad that is lacking defensively, while Mauricio Pochettino will hope for further development from his talented young group. Everton have drawn their past three opening games 2-2, and a fourth would see them reach eight winless matches against Tottenham. Conor Matchett",2016-08-12,everton,tottenham,https://www.theguardian.com/football/2016/aug/12/everton-tottenham-hotspur-match-preview
E0,2016-08-13,hull,leicester,2,1,H,1,0,H,M Dean,14,18,5,5,8,17,5,3,2,2,0,0,4.5,3.6,1.91,4.33,3.4,1.9,3.3,3.3,2.1,4.5,3.5,1.91,4.43,3.55,1.95,4.2,3.25,1.95,4.4,3.5,1.95,55,4.5,4.17,3.6,3.43,2.33,1.95,40,2.3,2.19,1.74,1.67,31,0.25,2.35,2.26,2.03,1.67,4.68,3.5,1.92,"Leicester City could hardly face an easier opening to their title defence. Managerless Hull City, with only 13 fit professionals, look ripe for the taking. The home side will be particularly short in defence, with three centre-backs – Alex Bruce, Harry Maguire and the captain, Michael Dawson – injured, as well as the goalkeeper Alan McGregor. Suspension means Robert Huth is the only notable absentee for Leicester, who may give a debut to Ahmed Musa. Paul Macinnes",2016-08-12,hull,leicester,https://www.theguardian.com/football/2016/aug/12/hull-city-leicester-city-match-preview
E0,2016-08-13,man city,sunderland,2,1,H,1,0,H,R Madley,16,7,4,3,11,14,9,6,1,2,0,0,1.25,6.5,15.0,1.22,6.0,11.5,1.25,5.5,10.3,1.25,6.5,13.0,1.27,6.48,13.15,1.25,5.5,13.0,1.25,6.5,15.0,56,1.3,1.25,6.8,6.11,15.0,12.55,39,1.56,1.53,2.67,2.48,34,-1.5,1.81,1.73,2.2,2.14,1.25,6.5,14.5,"However much Pep Guardiola tries to downplay it, all eyes watch the impact he will make. For now, with Vincent Kompany injured, he welcomes David Moyes’s side with a defence featuring new signing John Stones plunged straight in, so a win by any manner will do. Yet given the club’s riches and the 45-year-old’s pedigree there is no excuse for Guardiola not to have City as serious contenders. The missions starts here. Jamie Jackson",2016-08-12,man city,sunderland,https://www.theguardian.com/football/2016/aug/12/manchester-city-sunderland-match-preview
E0,2016-08-13,middlesbrough,stoke,1,1,D,1,0,H,K Friend,12,12,2,1,18,14,9,6,3,5,0,0,2.38,3.2,3.4,2.25,3.1,3.25,2.3,3.3,2.9,2.3,3.2,3.4,2.33,3.24,3.53,2.4,3.1,3.1,2.38,3.2,3.4,56,2.4,2.31,3.3,3.16,3.65,3.38,38,2.61,2.46,1.57,1.53,32,-0.25,1.99,1.93,1.97,1.92,2.2,3.38,3.7,"Back in the Premier League after a seven-year exile, Middlesbrough should showcase several of the nine new faces Aitor Karanka has imported to the Riverside this summer. Boro fans will be keen to take a first look at Víctor Valdés, Álvaro Negredo, Marten de Roon et al, while Joe Allen is set to make his Stoke debut following a £13m move from Liverpool. Given that Karanka’s side conceded only eight Championship goals at home last season Mark Hughes must trust his strikers are wearing their shooting boots. Louise Taylor",2016-08-12,middlesbrough,stoke,https://www.theguardian.com/football/2016/aug/12/middlesbrough-stoke-city-match-preview
E0,2016-08-13,southampton,watford,1,1,D,0,1,A,R East,24,5,6,1,8,12,6,2,1,2,0,1,1.8,3.75,5.0,1.8,3.4,4.5,1.8,3.5,4.2,1.8,3.6,5.0,1.88,3.68,4.64,1.83,3.4,4.5,1.83,3.6,5.0,56,1.88,1.82,3.8,3.56,5.0,4.62,42,2.13,2.06,1.83,1.75,33,-0.75,2.16,2.07,1.89,1.8,1.8,3.83,4.91,"Both clubs go into the new season with new managers for the first time since Alan Pardew and Malky Mackay were in charge of the respective clubs. Frenchman Claude Puel has joined Southampton while Italian maverick Walter Mazzarri takes charge of his first competitive match at Watford. The Saints are unbeaten in their past five against the visitors, and will be aiming to continue that run. Conor Matchett",2016-08-12,southampton,watford,https://www.theguardian.com/football/2016/aug/12/southampton-watford-match-preview
E0,2016-08-14,arsenal,liverpool,3,4,A,1,1,D,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0,2.4,3.5,3.1,2.35,3.3,2.9,2.3,3.3,2.9,2.38,3.4,3.1,2.41,3.53,3.1,2.5,3.1,3.0,2.4,3.5,3.1,55,2.5,2.36,3.55,3.42,3.2,3.04,42,1.98,1.81,2.09,1.99,31,-0.5,2.41,2.31,1.81,1.64,2.8,3.44,2.68,"Arsène Wenger is expected to be without a number of players on fitness grounds and he will be forced to field a makeshift central defensive partnership. It is easy to feel that the new season has come too soon for him and Arsenal, and Liverpool, who have injury concerns of their own, will seek to heighten the nagging anxiety at the Emirates. They do, however, have a poor away record against Arsenal, winning only once in 20 matches across 15 years. David Hytner",2016-08-12,arsenal,liverpool,https://www.theguardian.com/football/2016/aug/12/arsenal-liverpool-match-preview
E0,2016-08-14,bournemouth,man united,1,3,A,0,1,A,A Marriner,9,11,3,7,7,10,4,2,0,1,0,0,4.75,3.6,1.85,4.6,3.5,1.75,4.5,3.5,1.75,4.8,3.6,1.8,4.7,3.62,1.88,4.5,3.4,1.85,4.75,3.6,1.87,55,5.0,4.5,3.75,3.51,1.95,1.86,42,2.11,2.05,1.87,1.76,33,0.75,1.8,1.76,2.17,2.11,5.4,3.65,1.78,"José Mourinho’s penultimate match in charge of Chelsea ended in a chastening defeat by Bournemouth at Stamford Bridge, so his first Premier League match as Manchester United manager may feel remotely familiar. Mourinho will hope the summer arrivals, namely Zlatan Ibrahimovic and Henrikh Mkhitaryan can ensure a different outcome against Eddie Howe’s men this time around. “Zlatan is a great player, but you can pick any one of their players who will be a threat to us,” said Howe, who could give debuts to Jordon Ibe and Lewis Cook. “We’re looking forward to the game.” Ben Fisher",2016-08-12,bournemouth,man united,https://www.theguardian.com/football/2016/aug/12/bournemouth-manchester-united-match-preview
E0,2016-08-15,chelsea,west ham,2,1,H,0,0,D,A Taylor,16,7,6,3,16,16,7,1,5,2,0,0,1.65,4.0,6.0,1.6,3.75,5.5,1.65,3.6,5.1,1.62,4.0,6.0,1.68,4.16,5.48,1.67,3.6,5.5,1.65,4.1,5.75,52,1.71,1.64,4.25,3.97,6.0,5.46,40,1.97,1.8,2.09,2.01,33,-1.0,2.2,2.1,1.8,1.76,1.52,4.38,7.45,This could be the game of the opening weekend. Antonio Conte may need some time to leave his mark on Chelsea but there is justified excitement at Stamford Bridge after last season’s horrors. West Ham arrive with two competitive games under their belt after progressing in the Europa League and it will be fascinating to see if Slaven Bilic can improve on last year’s fine performance. Alan Smith,2016-08-12,chelsea,west ham,https://www.theguardian.com/football/2016/aug/12/chelsea-west-ham-united-match-preview
